"2014-02-03";"13:00:40";"WinControl (rev 714) report file"
"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Temp";"1:Y (II)";"1:ETR";"1:Fo'";"1:Depth";"1:qP";"1:qN";"1:NPQ"
"";"";"D";"";"Device Nr: #1, Diving-PAM ";""
"2013-09-05";"11:45:36";"F";"118";"778";"869";"38";"13.0";"0.105";"1.7";"~226";"- 4.4";"0.142";"- 0.005";"- 0.003"
"2013-09-05";"11:45:46";"F";"119";"809";"857";"58";"13.0";"0.056";"1.4";"~225";"- 4.4";"0.076";"0.012";"0.011"
"2013-09-05";"11:45:56";"F";"120";"815";"843";"86";"13.0";"0.033";"1.2";"~224";"- 4.4";"0.045";"0.033";"0.027"
"2013-09-05";"11:46:06";"F";"121";"808";"824";"117";"13.0";"0.019";"0.9";"~223";"- 4.4";"0.027";"0.061";"0.051"
"2013-09-05";"11:46:15";"F";"122";"794";"799";"170";"13.0";"0.006";"0.4";"~221";"- 4.4";"0.009";"0.097";"0.084"
"2013-09-05";"11:46:25";"F";"123";"766";"767";"228";"13.0";"0.001";"0.1";"~219";"- 4.4";"0.002";"0.144";"0.129"
"2013-09-05";"11:46:35";"F";"124";"732";"730";"337";"13.0";"-";"-";"-";"- 4.5";"-";"-";"-"
"2013-09-05";"11:46:35";"SLCE";"";"Light Curve end ";""
"2013-09-05";"12:06:41";"C";"";"MI=6;SI=8;SW=0.8;AI=3;AW=0:50;AF=1.00;G=2;D=1;EF=0.84;FO=5;CW=0:30;CI=1;LW=0:10;LI=2;ID=0:50;IW=0:10;DO0.0;DG1.00;LO=0;LG=0.80 ";""
"2013-09-05";"12:06:41";"SLCS";"";"Light Curve start ";""
"2013-09-05";"12:06:41";"REG1";"";"#1: Error: First 3 ETR-Values are not increasing ";""
"2013-09-05";"12:06:41";"REG2";"";"#1: Error: First 3 ETR-Values are not increasing ";""
"2013-09-05";"12:06:42";"FO";"126";"181";"843";"0";"13.0";"0.785";"0.0";"-";"- 4.9";"-";"-";"-"
"2013-09-05";"12:06:52";"F";"127";"602";"857";"19";"13.0";"0.298";"2.4";"~182";"- 4.8";"0.378";"- 0.020";"- 0.016"
"2013-09-05";"12:07:02";"F";"128";"735";"845";"38";"13.0";"0.130";"2.1";"~181";"- 4.8";"0.166";"- 0.003";"- 0.002"
"2013-09-05";"12:07:12";"F";"129";"777";"834";"58";"13.0";"0.068";"1.7";"~181";"- 4.8";"0.087";"0.014";"0.011"
"2013-09-05";"12:07:21";"F";"130";"788";"823";"86";"13.0";"0.043";"1.6";"~180";"- 4.8";"0.054";"0.029";"0.024"
"2013-09-05";"12:07:31";"F";"131";"788";"810";"117";"13.0";"0.027";"1.3";"~179";"- 4.8";"0.035";"0.047";"0.041"
"2013-09-05";"12:07:41";"F";"132";"783";"794";"170";"13.0";"0.014";"1.0";"~179";"- 4.8";"0.018";"0.071";"0.062"
"2013-09-05";"12:07:51";"F";"133";"770";"773";"228";"13.0";"0.004";"0.4";"~178";"- 4.8";"0.005";"0.101";"0.091"
"2013-09-05";"12:08:01";"F";"134";"751";"749";"337";"13.0";"-";"-";"-";"- 4.8";"-";"-";"-"
"2013-09-05";"12:08:01";"SLCE";"";"Light Curve end ";""
"2013-09-05";"12:08:57";"SLCS";"";"Light Curve start ";""
"2013-09-05";"12:08:57";"REG1";"";"#1: Error: First 3 ETR-Values are not increasing ";""
"2013-09-05";"12:08:57";"REG2";"";"#1: Error: First 3 ETR-Values are not increasing ";""
"2013-09-05";"12:08:58";"FO";"135";"198";"776";"0";"13.0";"0.745";"0.0";"-";"- 4.8";"-";"-";"-"
"2013-09-05";"12:09:08";"F";"136";"538";"779";"19";"13.0";"0.309";"2.5";"~198";"- 4.8";"0.415";"- 0.005";"- 0.004"
"2013-09-05";"12:09:18";"F";"137";"651";"763";"38";"13.0";"0.147";"2.3";"~197";"- 4.8";"0.198";"0.021";"0.017"
"2013-09-05";"12:09:28";"F";"138";"684";"746";"58";"13.0";"0.083";"2.0";"~196";"- 4.8";"0.113";"0.048";"0.040"
"2013-09-05";"12:09:38";"F";"139";"696";"732";"86";"13.0";"0.049";"1.8";"~195";"- 4.8";"0.067";"0.071";"0.060"
"2013-09-05";"12:09:48";"F";"140";"692";"717";"117";"13.0";"0.035";"1.7";"~194";"- 4.8";"0.048";"0.095";"0.082"
"2013-09-05";"12:09:57";"F";"141";"681";"692";"170";"13.0";"0.016";"1.1";"~192";"- 4.8";"0.022";"0.135";"0.121"
"2013-09-05";"12:10:07";"F";"142";"656";"661";"228";"13.0";"0.008";"0.8";"~190";"- 4.8";"0.011";"0.185";"0.174"
"2013-09-05";"12:10:17";"F";"143";"625";"623";"337";"13.0";"-";"-";"-";"- 4.8";"-";"-";"-"
"2013-09-05";"12:10:17";"SLCE";"";"Light Curve end ";""
